matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
679,1.8.3,3,Suresh Raina,14,FALSE,Michael Hussey,20,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.335,,0,0,0,,0.084,7.081,-0.28,0.692,5,5
679,1.8.4,4,Suresh Raina,14,FALSE,Michael Hussey,20,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.911,,0,0,0,,0.545,7.036,0.568,0.532,5,5
679,1.8.5,5,Suresh Raina,14,FALSE,Michael Hussey,20,Ashish Nehra,115,FALSE,MEDIUM_SEAM,38.177,,2,2,2,,0.382,8.554,0.254,0.812,20,48
679,1.8.6,6,Suresh Raina,14,FALSE,Michael Hussey,20,Ashish Nehra,115,FALSE,MEDIUM_SEAM,38.215,,0,0,0,,0.728,7.469,0.868,0.813,5,5
679,1.9.1,1,Michael Hussey,20,FALSE,Suresh Raina,14,Johan Botha,224,FALSE,SEAM,23.06,,1,1,1,,0.316,4.782,0.281,0.807,78,43
679,1.9.2,2,Suresh Raina,14,FALSE,Michael Hussey,20,Johan Botha,224,FALSE,SEAM,22.336,,1,1,1,,0.252,5.289,0.323,0.711,59,49
679,1.9.3,3,Michael Hussey,20,FALSE,Suresh Raina,14,Johan Botha,224,FALSE,SEAM,24.352,,1,1,1,,0.278,3.431,0.298,0.501,86,52
679,1.9.4,4,Suresh Raina,14,FALSE,Michael Hussey,20,Johan Botha,224,FALSE,SEAM,25.366,,1,1,1,,0.036,4.044,-0.123,0.503,28,52
679,1.9.5,5,Michael Hussey,20,FALSE,Suresh Raina,14,Johan Botha,224,FALSE,SEAM,22.547,,1,1,1,,0.271,5.534,0.212,0.672,23,18
679,1.9.6,6,Suresh Raina,14,FALSE,Michael Hussey,20,Johan Botha,224,FALSE,SEAM,25.795,,1,0,1,Wd,-0.128,5.816,-0.446,0.71,5,5
679,1.9.7,6,Suresh Raina,14,FALSE,Michael Hussey,20,Johan Botha,224,FALSE,SEAM,22.405,,0,0,0,,0.183,6.28,0.105,0.835,65,45
679,1.10.1,1,Michael Hussey,20,FALSE,Suresh Raina,14,Umesh Yadav,59,TRUE,FAST_SEAM,36.589,,0,0,0,,-0.167,9.481,0.24,0.968,5,5
679,1.10.2,2,Michael Hussey,20,FALSE,Suresh Raina,14,Umesh Yadav,59,TRUE,FAST_SEAM,38.418,c Virender Sehwag b Umesh Yadav,0,0,0,,-0.24,11.514,0.246,1.479,0,0
679,1.10.3,3,Suresh Raina,14,FALSE,MS Dhoni,1,Umesh Yadav,59,TRUE,FAST_SEAM,38.909,,1,1,1,,-0.114,9.409,0.358,0.918,70,13
679,1.10.4,4,MS Dhoni,1,TRUE,Suresh Raina,14,Umesh Yadav,59,TRUE,FAST_SEAM,38.775,,0,0,0,,-0.415,10.613,-0.219,1.357,34,28
679,1.10.5,5,MS Dhoni,1,TRUE,Suresh Raina,14,Umesh Yadav,59,TRUE,FAST_SEAM,39.829,,0,0,0,,-0.285,7.581,-0.045,0.867,50,41
679,1.10.6,6,MS Dhoni,1,TRUE,Suresh Raina,14,Umesh Yadav,59,TRUE,FAST_SEAM,39.311,,1,1,1,,-0.472,11.902,-0.115,1.597,80,43
679,1.11.1,1,MS Dhoni,1,TRUE,Suresh Raina,14,Roelof van der Merwe,173,FALSE,ORTHODOX,25.399,,1,1,1,,-0.281,3.809,-0.351,0.596,21,39
679,1.11.2,2,Suresh Raina,14,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,24.873,,0,0,0,,0.258,4.542,0.448,0.666,5,5
679,1.11.3,3,Suresh Raina,14,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,25.689,,2,2,2,,0.226,5.78,0.523,0.661,66,29
679,1.11.4,4,Suresh Raina,14,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,26.36,c David Warner b Roelof van der Merwe,0,0,0,,0.504,3.114,0.804,0.508,0,0
679,1.11.5,5,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,26.505,,1,1,1,,-0.188,8.764,0.094,0.705,22,34
679,1.11.6,6,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,25.761,,2,2,2,,0.017,2.556,0.177,0.433,70,40
679,1.12.1,1,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Irfan Pathan,49,FALSE,MEDIUM_SEAM,35.607,,2,2,2,,0.564,9.134,0.659,0.807,83,27
679,1.12.2,2,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Irfan Pathan,49,FALSE,MEDIUM_SEAM,35.788,,1,1,1,,0.198,7.454,0.004,0.731,22,31
679,1.12.3,3,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Irfan Pathan,49,FALSE,MEDIUM_SEAM,37.155,,1,1,1,,-0.1,8.627,-0.58,0.72,18,33
679,1.12.4,4,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Irfan Pathan,49,FALSE,MEDIUM_SEAM,36.707,,1,1,1,,0.293,9.205,0.105,0.806,27,62
679,1.12.5,5,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Irfan Pathan,49,FALSE,MEDIUM_SEAM,37.365,,6,6,6,,0.046,8.327,-0.293,0.8,91,84
679,1.12.6,6,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Irfan Pathan,49,FALSE,MEDIUM_SEAM,37.829,,0,0,0,,-0.261,7.882,-0.742,0.783,5,5
679,1.13.1,1,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,22.489,,1,1,1,,-0.182,5.518,-0.21,0.687,26,22
679,1.13.2,2,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,25.159,,0,0,0,,-0.091,5.327,-0.045,0.688,38,42
679,1.13.3,3,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,25.105,,0,0,0,,-0.071,5.523,-0.065,0.731,50,39
679,1.13.4,4,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,26.805,,1,1,1,,-0.052,5.446,0.076,0.661,80,42
679,1.13.5,5,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,26.319,,1,1,1,,0.068,4.223,0.184,0.538,74,69
679,1.13.6,6,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,25.663,,1,1,1,,-0.017,3.22,-0.045,0.713,66,73
679,1.14.1,1,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,31.458,,0,0,0,,-0.298,12.019,0.216,1.28,48,36
679,1.14.2,2,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,34.423,,1,1,1,,-0.606,10.083,-0.437,1.045,34,34
679,1.14.3,3,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,32.541,,1,1,1,,-0.06,7.571,0.452,0.83,71,12
679,1.14.4,4,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,31.096,,1,1,1,,-0.609,6.405,-0.698,0.57,47,64
